n,size,misses
3,4,11
4,5,17
5,8,29
6,10,40
7,14,54
8,17,69
9,20,85
10,28,105
11,31,125
12,34,146
13,47,172
14,51,197
15,55,223
16,71,255
17,76,285
18,81,316
19,100,354
20,106,389
21,112,425
22,134,469
23,141,509
24,148,550
25,173,600
26,181,645
27,189,691
28,217,747
29,226,797
30,235,848
31,266,910
32,276,965
33,286,1021
34,320,1089
35,331,1149
36,342,1210
37,379,1284
38,391,1349
39,403,1415
40,443,1495
41,456,1565
42,469,1636
43,512,1722
44,526,1797
45,540,1873
46,586,1965
47,601,2045
48,616,2126
49,665,2224
50,681,2309
51,697,2395
52,749,2499
53,766,2589
54,783,2680
55,838,2790
56,856,2885
57,874,2981
58,932,3097
59,951,3197
60,970,3298
61,1031,3420
62,1051,3525
63,1071,3631
64,1135,3759
65,1156,3869
66,1177,3980
67,1244,4114
68,1266,4229
69,1288,4345
70,1358,4485
71,1381,4605
72,1404,4726
73,1477,4872
74,1501,4997
75,1525,5123
76,1601,5275
77,1626,5405
78,1651,5536
79,1730,5694
80,1756,5829
81,1782,5965
82,1864,6129
83,1891,6269
84,1918,6410
85,2003,6580
86,2031,6725
87,2059,6871
88,2147,7047
89,2176,7197
90,2205,7348
91,2296,7530
92,2326,7685
93,2356,7841
94,2450,8029
95,2481,8189
96,2512,8350
97,2609,8544
98,2641,8709
99,2673,8875
100,2773,9075
101,2806,9245
102,2839,9416
103,2942,9622
104,2976,9797
105,3010,9973
106,3116,10185
107,3151,10365
108,3186,10546
109,3295,10764
110,3331,10949
111,3367,11135
112,3479,11359
113,3516,11549
114,3553,11740
115,3668,11970
116,3706,12165
117,3744,12361
118,3862,12597
119,3901,12797
120,3940,12998
121,4061,13240
122,4101,13445
123,4141,13651
124,4265,13899
125,4306,14109
126,4347,14320
127,4474,14574
128,4516,14789
129,4558,15005
130,4688,15265
131,4731,15485
132,4774,15706
133,4907,15972
134,4951,16197
135,4995,16423
136,5131,16695
137,5176,16925
138,5221,17156
139,5360,17434
140,5406,17669
141,5452,17905
142,5594,18189
143,5641,18429
144,5688,18670
145,5833,18960
146,5881,19205
147,5929,19451
148,6077,19747
149,6126,19997
150,6175,20248
151,6326,20550
152,6376,20805
153,6426,21061
154,6580,21369
155,6631,21629
156,6682,21890
157,6839,22204
158,6891,22469
159,6943,22735
160,7103,23055
161,7156,23325
162,7209,23596
163,7372,23922
164,7426,24197
165,7480,24473
166,7646,24805
167,7701,25085
168,7756,25366
169,7925,25704
170,7981,25989
171,8037,26275
172,8209,26619
173,8266,26909
174,8323,27200
175,8498,27550
176,8556,27845
177,8614,28141
178,8792,28497
179,8851,28797
180,8910,29098
181,9091,29460
182,9151,29765
183,9211,30071
184,9395,30439
185,9456,30749
186,9517,31060
187,9704,31434
188,9766,31749
189,9828,32065
190,10018,32445
191,10081,32765
192,10144,33086
193,10337,33472
194,10401,33797
195,10465,34123
196,10661,34515
197,10726,34845
198,10791,35176
199,10990,35574
200,11056,35909
201,11122,36245
