n,size,misses
3,4,10
4,5,17
5,10,25
6,12,35
7,19,46
8,22,59
9,31,73
10,35,89
11,46,106
12,51,125
13,64,145
14,70,167
15,85,190
16,92,215
17,109,241
18,117,269
19,136,298
20,145,329
21,166,361
22,176,395
23,199,430
24,210,467
25,235,505
26,247,545
27,274,586
28,287,629
29,316,673
30,330,719
31,361,766
32,376,815
33,409,865
34,425,917
35,460,970
36,477,1025
37,514,1081
38,532,1139
39,571,1198
40,590,1259
41,631,1321
42,651,1385
43,694,1450
44,715,1517
45,760,1585
46,782,1655
47,829,1726
48,852,1799
49,901,1873
50,925,1949
51,976,2026
52,1001,2105
53,1054,2185
54,1080,2267
55,1135,2350
56,1162,2435
57,1219,2521
58,1247,2609
59,1306,2698
60,1335,2789
61,1396,2881
62,1426,2975
63,1489,3070
64,1520,3167
65,1585,3265
66,1617,3365
67,1684,3466
68,1717,3569
69,1786,3673
70,1820,3779
71,1891,3886
72,1926,3995
73,1999,4105
74,2035,4217
75,2110,4330
76,2147,4445
77,2224,4561
78,2262,4679
79,2341,4798
80,2380,4919
81,2461,5041
82,2501,5165
83,2584,5290
84,2625,5417
85,2710,5545
86,2752,5675
87,2839,5806
88,2882,5939
89,2971,6073
90,3015,6209
91,3106,6346
92,3151,6485
93,3244,6625
94,3290,6767
95,3385,6910
96,3432,7055
97,3529,7201
98,3577,7349
99,3676,7498
100,3725,7649
101,3826,7801
102,3876,7955
103,3979,8110
104,4030,8267
105,4135,8425
106,4187,8585
107,4294,8746
108,4347,8909
109,4456,9073
110,4510,9239
111,4621,9406
112,4676,9575
113,4789,9745
114,4845,9917
115,4960,10090
116,5017,10265
117,5134,10441
118,5192,10619
119,5311,10798
120,5370,10979
121,5491,11161
122,5551,11345
123,5674,11530
124,5735,11717
125,5860,11905
126,5922,12095
127,6049,12286
128,6112,12479
129,6241,12673
130,6305,12869
131,6436,13066
132,6501,13265
133,6634,13465
134,6700,13667
135,6835,13870
136,6902,14075
137,7039,14281
138,7107,14489
139,7246,14698
140,7315,14909
141,7456,15121
142,7526,15335
143,7669,15550
144,7740,15767
145,7885,15985
146,7957,16205
147,8104,16426
148,8177,16649
149,8326,16873
150,8400,17099
151,8551,17326
152,8626,17555
153,8779,17785
154,8855,18017
155,9010,18250
156,9087,18485
157,9244,18721
158,9322,18959
159,9481,19198
160,9560,19439
161,9721,19681
162,9801,19925
163,9964,20170
164,10045,20417
165,10210,20665
166,10292,20915
167,10459,21166
168,10542,21419
169,10711,21673
170,10795,21929
171,10966,22186
172,11051,22445
173,11224,22705
174,11310,22967
175,11485,23230
176,11572,23495
177,11749,23761
178,11837,24029
179,12016,24298
180,12105,24569
181,12286,24841
182,12376,25115
183,12559,25390
184,12650,25667
185,12835,25945
186,12927,26225
187,13114,26506
188,13207,26789
189,13396,27073
190,13490,27359
191,13681,27646
192,13776,27935
193,13969,28225
194,14065,28517
195,14260,28810
196,14357,29105
197,14554,29401
198,14652,29699
199,14851,29998
200,14950,30299
201,15151,30601
