n,size,misses
3,4,11
4,4,19
5,5,29
6,10,40
7,12,56
8,14,71
9,16,91
10,18,110
11,26,131
12,29,153
13,32,184
14,35,211
15,38,239
16,49,265
17,53,308
18,57,343
19,61,379
20,65,416
21,79,463
22,84,506
23,89,550
24,94,595
25,99,641
26,121,700
27,126,752
28,131,805
29,136,859
30,141,914
31,172,985
32,178,1046
33,184,1108
34,190,1171
35,196,1235
36,232,1318
37,239,1388
38,246,1459
39,253,1531
40,260,1604
41,301,1699
42,309,1778
43,317,1858
44,325,1939
45,333,2021
46,379,2128
47,388,2216
48,397,2305
49,406,2395
50,415,2486
51,466,2605
52,476,2702
53,486,2800
54,496,2899
55,506,2999
56,562,3130
57,573,3236
58,584,3343
59,595,3451
60,606,3560
61,667,3703
62,679,3818
63,691,3934
64,703,4051
65,715,4169
66,781,4324
67,794,4448
68,807,4573
69,820,4699
70,833,4826
71,904,4993
72,918,5126
73,932,5260
74,946,5395
75,960,5531
76,1036,5710
77,1051,5852
78,1066,5995
79,1081,6139
80,1096,6284
81,1177,6475
82,1193,6626
83,1209,6778
84,1225,6931
85,1241,7085
86,1327,7288
87,1344,7448
88,1361,7609
89,1378,7771
90,1395,7934
91,1486,8149
92,1504,8318
93,1522,8488
94,1540,8659
95,1558,8831
96,1654,9058
97,1673,9236
98,1692,9415
99,1711,9595
100,1730,9776
101,1831,10015
102,1851,10202
103,1871,10390
104,1891,10579
105,1911,10769
106,2017,11020
107,2038,11216
108,2059,11413
109,2080,11611
110,2101,11810
111,2212,12073
112,2234,12278
113,2256,12484
114,2278,12691
115,2300,12899
116,2416,13174
117,2439,13388
118,2462,13603
119,2485,13819
120,2508,14036
121,2629,14323
122,2653,14546
123,2677,14770
124,2701,14995
125,2725,15221
126,2851,15520
127,2876,15752
128,2901,15985
129,2926,16219
130,2951,16454
131,3082,16765
132,3108,17006
133,3134,17248
134,3160,17491
135,3186,17735
136,3322,18058
137,3349,18308
138,3376,18559
139,3403,18811
140,3430,19064
141,3571,19399
142,3599,19658
143,3627,19918
144,3655,20179
145,3683,20441
146,3829,20788
147,3858,21056
148,3887,21325
149,3916,21595
150,3945,21866
151,4096,22225
152,4126,22502
153,4156,22780
154,4186,23059
155,4216,23339
156,4372,23710
157,4403,23996
158,4434,24283
159,4465,24571
160,4496,24860
161,4657,25243
162,4689,25538
163,4721,25834
164,4753,26131
165,4785,26429
166,4951,26824
167,4984,27128
168,5017,27433
169,5050,27739
170,5083,28046
171,5254,28453
172,5288,28766
173,5322,29080
174,5356,29395
175,5390,29711
176,5566,30130
177,5601,30452
178,5636,30775
179,5671,31099
180,5706,31424
181,5887,31855
182,5923,32186
183,5959,32518
184,5995,32851
185,6031,33185
186,6217,33628
187,6254,33968
188,6291,34309
189,6328,34651
190,6365,34994
191,6556,35449
192,6594,35798
193,6632,36148
194,6670,36499
195,6708,36851
196,6904,37318
197,6943,37676
198,6982,38035
199,7021,38395
200,7060,38756
201,7261,39235
