n,size,misses
3,4,11
4,4,19
5,5,29
6,6,41
7,12,56
8,14,71
9,16,91
10,18,110
11,20,134
12,22,157
13,32,184
14,35,211
15,38,239
16,41,276
17,44,309
18,47,343
19,61,379
20,65,416
21,69,467
22,73,510
23,77,554
24,81,599
25,99,641
26,104,707
27,109,760
28,114,814
29,119,869
30,124,925
31,146,996
32,152,1059
33,158,1123
34,164,1188
35,170,1254
36,176,1321
37,208,1407
38,214,1481
39,220,1556
40,226,1632
41,232,1709
42,238,1787
43,281,1888
44,288,1973
45,295,2059
46,302,2146
47,309,2234
48,316,2323
49,365,2439
50,373,2535
51,381,2632
52,389,2730
53,397,2829
54,405,2929
55,460,3060
56,469,3167
57,478,3275
58,487,3384
59,496,3494
60,505,3605
61,566,3751
62,576,3869
63,586,3988
64,596,4108
65,606,4229
66,616,4351
67,683,4512
68,694,4641
69,705,4771
70,716,4902
71,727,5034
72,738,5167
73,811,5343
74,823,5483
75,835,5624
76,847,5766
77,859,5909
78,871,6053
79,950,6244
80,963,6395
81,976,6547
82,989,6700
83,1002,6854
84,1015,7009
85,1100,7215
86,1114,7377
87,1128,7540
88,1142,7704
89,1156,7869
90,1170,8035
91,1261,8256
92,1276,8429
93,1291,8603
94,1306,8778
95,1321,8954
96,1336,9131
97,1433,9367
98,1449,9551
99,1465,9736
100,1481,9922
101,1497,10109
102,1513,10297
103,1616,10548
104,1633,10743
105,1650,10939
106,1667,11136
107,1684,11334
108,1701,11533
109,1810,11799
110,1828,12005
111,1846,12212
112,1864,12420
113,1882,12629
114,1900,12839
115,2015,13120
116,2034,13337
117,2053,13555
118,2072,13774
119,2091,13994
120,2110,14215
121,2231,14511
122,2251,14739
123,2271,14968
124,2291,15198
125,2311,15429
126,2331,15661
127,2458,15972
128,2479,16211
129,2500,16451
130,2521,16692
131,2542,16934
132,2563,17177
133,2696,17503
134,2718,17753
135,2740,18004
136,2762,18256
137,2784,18509
138,2806,18763
139,2945,19104
140,2968,19365
141,2991,19627
142,3014,19890
143,3037,20154
144,3060,20419
145,3205,20775
146,3229,21047
147,3253,21320
148,3277,21594
149,3301,21869
150,3325,22145
151,3476,22516
152,3501,22799
153,3526,23083
154,3551,23368
155,3576,23654
156,3601,23941
157,3758,24327
158,3784,24621
159,3810,24916
160,3836,25212
161,3862,25509
162,3888,25807
163,4051,26208
164,4078,26513
165,4105,26819
166,4132,27126
167,4159,27434
168,4186,27743
169,4355,28159
170,4383,28475
171,4411,28792
172,4439,29110
173,4467,29429
174,4495,29749
175,4670,30180
176,4699,30507
177,4728,30835
178,4757,31164
179,4786,31494
180,4815,31825
181,4996,32271
182,5026,32609
183,5056,32948
184,5086,33288
185,5116,33629
186,5146,33971
187,5333,34432
188,5364,34781
189,5395,35131
190,5426,35482
191,5457,35834
192,5488,36187
193,5681,36663
194,5713,37023
195,5745,37384
196,5777,37746
197,5809,38109
198,5841,38473
199,6040,38964
200,6073,39335
201,6106,39707
