n,size,misses
3,4,11
4,4,19
5,5,29
6,6,41
7,7,55
8,14,71
9,16,91
10,18,110
11,20,134
12,22,157
13,24,185
14,26,212
15,38,239
16,41,276
17,44,309
18,47,343
19,50,386
20,53,425
21,56,465
22,73,510
23,77,554
24,81,599
25,85,658
26,89,709
27,93,761
28,97,814
29,119,869
30,124,925
31,129,1001
32,134,1064
33,139,1128
34,144,1193
35,149,1259
36,176,1321
37,182,1415
38,188,1490
39,194,1566
40,200,1643
41,206,1721
42,212,1800
43,244,1900
44,251,1987
45,258,2075
46,265,2164
47,272,2254
48,279,2345
49,286,2437
50,330,2555
51,337,2655
52,344,2756
53,351,2858
54,358,2961
55,365,3065
56,372,3170
57,429,3306
58,437,3419
59,445,3533
60,453,3648
61,461,3764
62,469,3881
63,477,3999
64,541,4153
65,550,4279
66,559,4406
67,568,4534
68,577,4663
69,586,4793
70,595,4924
71,666,5096
72,676,5235
73,686,5375
74,696,5516
75,706,5658
76,716,5801
77,726,5945
78,804,6135
79,815,6287
80,826,6440
81,837,6594
82,848,6749
83,859,6905
84,870,7062
85,955,7270
86,967,7435
87,979,7601
88,991,7768
89,1003,7936
90,1015,8105
91,1027,8275
92,1119,8501
93,1132,8679
94,1145,8858
95,1158,9038
96,1171,9219
97,1184,9401
98,1197,9584
99,1296,9828
100,1310,10019
101,1324,10211
102,1338,10404
103,1352,10598
104,1366,10793
105,1380,10989
106,1486,11251
107,1501,11455
108,1516,11660
109,1531,11866
110,1546,12073
111,1561,12281
112,1576,12490
113,1689,12770
114,1705,12987
115,1721,13205
116,1737,13424
117,1753,13644
118,1769,13865
119,1785,14087
120,1905,14385
121,1922,14615
122,1939,14846
123,1956,15078
124,1973,15311
125,1990,15545
126,2007,15780
127,2134,16096
128,2152,16339
129,2170,16583
130,2188,16828
131,2206,17074
132,2224,17321
133,2242,17569
134,2376,17903
135,2395,18159
136,2414,18416
137,2433,18674
138,2452,18933
139,2471,19193
140,2490,19454
141,2631,19806
142,2651,20075
143,2671,20345
144,2691,20616
145,2711,20888
146,2731,21161
147,2751,21435
148,2899,21805
149,2920,22087
150,2941,22370
151,2962,22654
152,2983,22939
153,3004,23225
154,3025,23512
155,3180,23900
156,3202,24195
157,3224,24491
158,3246,24788
159,3268,25086
160,3290,25385
161,3312,25685
162,3474,26091
163,3497,26399
164,3520,26708
165,3543,27018
166,3566,27329
167,3589,27641
168,3612,27954
169,3781,28378
170,3805,28699
171,3829,29021
172,3853,29344
173,3877,29668
174,3901,29993
175,3925,30319
176,4101,30761
177,4126,31095
178,4151,31430
179,4176,31766
180,4201,32103
181,4226,32441
182,4251,32780
183,4434,33240
184,4460,33587
185,4486,33935
186,4512,34284
187,4538,34634
188,4564,34985
189,4590,35337
190,4780,35815
191,4807,36175
192,4834,36536
193,4861,36898
194,4888,37261
195,4915,37625
196,4942,37990
197,5139,38486
198,5167,38859
199,5195,39233
200,5223,39608
201,5251,39984
