n,size,misses
2,5,8
3,4,15
4,8,24
5,17,35
6,12,48
7,31,63
8,16,80
9,49,99
10,20,120
11,71,143
12,24,168
13,97,195
14,28,224
15,127,255
16,32,288
17,161,323
18,36,360
19,199,399
20,40,440
21,241,483
22,44,528
23,287,575
24,48,624
25,337,675
26,52,728
27,391,783
28,56,840
29,449,899
30,60,960
31,511,1023
32,64,1088
33,577,1155
34,68,1224
35,647,1295
36,72,1368
37,721,1443
38,76,1520
39,799,1599
40,80,1680
41,881,1763
42,84,1848
43,967,1935
44,88,2024
45,1057,2115
46,92,2208
47,1151,2303
48,96,2400
49,1249,2499
50,100,2600
51,1351,2703
52,104,2808
53,1457,2915
54,108,3024
55,1567,3135
56,112,3248
57,1681,3363
58,116,3480
59,1799,3599
60,120,3720
61,1921,3843
62,124,3968
63,2047,4095
64,128,4224
65,2177,4355
66,132,4488
67,2311,4623
68,136,4760
69,2449,4899
70,140,5040
71,2591,5183
72,144,5328
73,2737,5475
74,148,5624
75,2887,5775
76,152,5928
77,3041,6083
78,156,6240
79,3199,6399
80,160,6560
81,3361,6723
82,164,6888
83,3527,7055
84,168,7224
85,3697,7395
86,172,7568
87,3871,7743
88,176,7920
89,4049,8099
90,180,8280
91,4231,8463
92,184,8648
93,4417,8835
94,188,9024
95,4607,9215
96,192,9408
97,4801,9603
98,196,9800
99,4999,9999
100,200,10200
101,5201,10403
102,204,10608
103,5407,10815
104,208,11024
105,5617,11235
106,212,11448
107,5831,11663
108,216,11880
109,6049,12099
110,220,12320
111,6271,12543
112,224,12768
113,6497,12995
114,228,13224
115,6727,13455
116,232,13688
117,6961,13923
118,236,14160
119,7199,14399
120,240,14640
121,7441,14883
122,244,15128
123,7687,15375
124,248,15624
125,7937,15875
126,252,16128
127,8191,16383
128,256,16640
129,8449,16899
130,260,17160
131,8711,17423
132,264,17688
133,8977,17955
134,268,18224
135,9247,18495
136,272,18768
137,9521,19043
138,276,19320
139,9799,19599
140,280,19880
141,10081,20163
142,284,20448
143,10367,20735
144,288,21024
145,10657,21315
146,292,21608
147,10951,21903
148,296,22200
149,11249,22499
150,300,22800
151,11551,23103
152,304,23408
153,11857,23715
154,308,24024
155,12167,24335
156,312,24648
157,12481,24963
158,316,25280
159,12799,25599
160,320,25920
161,13121,26243
162,324,26568
163,13447,26895
164,328,27224
165,13777,27555
166,332,27888
167,14111,28223
168,336,28560
169,14449,28899
170,340,29240
171,14791,29583
172,344,29928
173,15137,30275
174,348,30624
175,15487,30975
176,352,31328
177,15841,31683
178,356,32040
179,16199,32399
180,360,32760
181,16561,33123
182,364,33488
183,16927,33855
184,368,34224
185,17297,34595
186,372,34968
187,17671,35343
188,376,35720
189,18049,36099
190,380,36480
191,18431,36863
192,384,37248
193,18817,37635
194,388,38024
195,19207,38415
196,392,38808
197,19601,39203
198,396,39600
199,19999,39999
200,400,40400
201,20401,40803
202,404,41208
203,20807,41615
204,408,42024
205,21217,42435
206,412,42848
207,21631,43263
208,416,43680
209,22049,44099
210,420,44520
211,22471,44943
212,424,45368
213,22897,45795
214,428,46224
215,23327,46655
216,432,47088
217,23761,47523
218,436,47960
219,24199,48399
220,440,48840
221,24641,49283
222,444,49728
223,25087,50175
224,448,50624
225,25537,51075
226,452,51528
227,25991,51983
228,456,52440
229,26449,52899
230,460,53360
231,26911,53823
232,464,54288
233,27377,54755
234,468,55224
235,27847,55695
236,472,56168
237,28321,56643
238,476,57120
239,28799,57599
240,480,58080
241,29281,58563
242,484,59048
243,29767,59535
244,488,60024
245,30257,60515
246,492,61008
247,30751,61503
248,496,62000
249,31249,62499
250,500,63000
251,31751,63503
252,504,64008
253,32257,64515
254,508,65024
255,32767,65535
256,512,66048
257,33281,66563
258,516,67080
259,33799,67599
260,520,68120
261,34321,68643
262,524,69168
263,34847,69695
264,528,70224
265,35377,70755
266,532,71288
267,35911,71823
268,536,72360
269,36449,72899
270,540,73440
271,36991,73983
272,544,74528
273,37537,75075
274,548,75624
275,38087,76175
276,552,76728
277,38641,77283
278,556,77840
279,39199,78399
280,560,78960
281,39761,79523
282,564,80088
283,40327,80655
284,568,81224
285,40897,81795
286,572,82368
287,41471,82943
288,576,83520
289,42049,84099
290,580,84680
291,42631,85263
292,584,85848
293,43217,86435
294,588,87024
295,43807,87615
296,592,88208
297,44401,88803
298,596,89400
299,44999,89999
300,600,90600
301,45601,91203
302,604,91808
303,46207,92415
304,608,93024
305,46817,93635
306,612,94248
307,47431,94863
308,616,95480
309,48049,96099
310,620,96720
311,48671,97343
312,624,97968
313,49297,98595
314,628,99224
315,49927,99855
316,632,100488
317,50561,101123
318,636,101760
319,51199,102399
320,640,103040
321,51841,103683
322,644,104328
323,52487,104975
324,648,105624
325,53137,106275
326,652,106928
327,53791,107583
328,656,108240
329,54449,108899
330,660,109560
331,55111,110223
332,664,110888
333,55777,111555
334,668,112224
335,56447,112895
336,672,113568
337,57121,114243
338,676,114920
339,57799,115599
340,680,116280
341,58481,116963
342,684,117648
343,59167,118335
344,688,119024
345,59857,119715
346,692,120408
347,60551,121103
348,696,121800
349,61249,122499
350,700,123200
351,61951,123903
352,704,124608
353,62657,125315
354,708,126024
355,63367,126735
356,712,127448
357,64081,128163
358,716,128880
359,64799,129599
360,720,130320
361,65521,131043
362,724,131768
363,66247,132495
364,728,133224
365,66977,133955
366,732,134688
367,67711,135423
368,736,136160
369,68449,136899
370,740,137640
371,69191,138383
372,744,139128
373,69937,139875
374,748,140624
375,70687,141375
376,752,142128
377,71441,142883
378,756,143640
379,72199,144399
380,760,145160
381,72961,145923
382,764,146688
383,73727,147455
384,768,148224
385,74497,148995
386,772,149768
387,75271,150543
388,776,151320
389,76049,152099
390,780,152880
391,76831,153663
392,784,154448
393,77617,155235
394,788,156024
395,78407,156815
396,792,157608
397,79201,158403
398,796,159200
399,79999,159999
400,800,160800
401,80801,161603
402,804,162408
403,81607,163215
404,808,164024
405,82417,164835
406,812,165648
407,83231,166463
408,816,167280
409,84049,168099
410,820,168920
411,84871,169743
412,824,170568
413,85697,171395
414,828,172224
415,86527,173055
416,832,173888
417,87361,174723
418,836,175560
419,88199,176399
420,840,177240
421,89041,178083
422,844,178928
423,89887,179775
424,848,180624
425,90737,181475
426,852,182328
427,91591,183183
428,856,184040
429,92449,184899
430,860,185760
431,93311,186623
432,864,187488
433,94177,188355
434,868,189224
435,95047,190095
436,872,190968
437,95921,191843
438,876,192720
439,96799,193599
440,880,194480
441,97681,195363
442,884,196248
443,98567,197135
444,888,198024
445,99457,198915
446,892,199808
447,100351,200703
448,896,201600
449,101249,202499
450,900,203400
451,102151,204303
452,904,205208
453,103057,206115
454,908,207024
455,103967,207935
456,912,208848
457,104881,209763
458,916,210680
459,105799,211599
460,920,212520
461,106721,213443
462,924,214368
463,107647,215295
464,928,216224
465,108577,217155
466,932,218088
467,109511,219023
468,936,219960
469,110449,220899
470,940,221840
471,111391,222783
472,944,223728
473,112337,224675
474,948,225624
475,113287,226575
476,952,227528
477,114241,228483
478,956,229440
479,115199,230399
480,960,231360
481,116161,232323
482,964,233288
483,117127,234255
484,968,235224
485,118097,236195
486,972,237168
487,119071,238143
488,976,239120
489,120049,240099
490,980,241080
491,121031,242063
492,984,243048
493,122017,244035
494,988,245024
495,123007,246015
496,992,247008
497,124001,248003
498,996,249000
499,124999,249999
500,1000,251000
501,126001,252003
502,1004,253008
503,127007,254015
504,1008,255024
505,128017,256035
506,1012,257048
507,129031,258063
508,1016,259080
509,130049,260099
510,1020,261120
511,131071,262143
512,1024,263168
513,132097,264195
514,1028,265224
515,133127,266255
516,1032,267288
517,134161,268323
518,1036,269360
519,135199,270399
520,1040,271440
521,136241,272483
522,1044,273528
523,137287,274575
524,1048,275624
525,138337,276675
526,1052,277728
527,139391,278783
528,1056,279840
529,140449,280899
530,1060,281960
531,141511,283023
532,1064,284088
533,142577,285155
534,1068,286224
535,143647,287295
536,1072,288368
537,144721,289443
538,1076,290520
539,145799,291599
540,1080,292680
541,146881,293763
542,1084,294848
543,147967,295935
544,1088,297024
545,149057,298115
546,1092,299208
547,150151,300303
548,1096,301400
549,151249,302499
550,1100,303600
551,152351,304703
552,1104,305808
553,153457,306915
554,1108,308024
555,154567,309135
556,1112,310248
557,155681,311363
558,1116,312480
559,156799,313599
560,1120,314720
561,157921,315843
562,1124,316968
563,159047,318095
564,1128,319224
565,160177,320355
566,1132,321488
567,161311,322623
568,1136,323760
569,162449,324899
570,1140,326040
571,163591,327183
572,1144,328328
573,164737,329475
574,1148,330624
575,165887,331775
576,1152,332928
577,167041,334083
578,1156,335240
579,168199,336399
580,1160,337560
581,169361,338723
582,1164,339888
583,170527,341055
584,1168,342224
585,171697,343395
586,1172,344568
587,172871,345743
588,1176,346920
589,174049,348099
590,1180,349280
591,175231,350463
592,1184,351648
593,176417,352835
594,1188,354024
595,177607,355215
596,1192,356408
597,178801,357603
598,1196,358800
599,179999,359999
600,1200,361200
601,181201,362403
602,1204,363608
603,182407,364815
604,1208,366024
605,183617,367235
606,1212,368448
607,184831,369663
608,1216,370880
609,186049,372099
610,1220,373320
611,187271,374543
612,1224,375768
613,188497,376995
614,1228,378224
615,189727,379455
616,1232,380688
617,190961,381923
618,1236,383160
619,192199,384399
620,1240,385640
621,193441,386883
622,1244,388128
623,194687,389375
624,1248,390624
625,195937,391875
626,1252,393128
627,197191,394383
628,1256,395640
629,198449,396899
630,1260,398160
631,199711,399423
632,1264,400688
633,200977,401955
634,1268,403224
635,202247,404495
636,1272,405768
637,203521,407043
638,1276,408320
639,204799,409599
640,1280,410880
641,206081,412163
642,1284,413448
643,207367,414735
644,1288,416024
645,208657,417315
646,1292,418608
647,209951,419903
648,1296,421200
649,211249,422499
650,1300,423800
651,212551,425103
652,1304,426408
653,213857,427715
654,1308,429024
655,215167,430335
656,1312,431648
657,216481,432963
658,1316,434280
659,217799,435599
660,1320,436920
661,219121,438243
662,1324,439568
663,220447,440895
664,1328,442224
665,221777,443555
666,1332,444888
667,223111,446223
668,1336,447560
669,224449,448899
670,1340,450240
671,225791,451583
672,1344,452928
673,227137,454275
674,1348,455624
675,228487,456975
676,1352,458328
677,229841,459683
678,1356,461040
679,231199,462399
680,1360,463760
681,232561,465123
682,1364,466488
683,233927,467855
684,1368,469224
685,235297,470595
686,1372,471968
687,236671,473343
688,1376,474720
689,238049,476099
690,1380,477480
691,239431,478863
692,1384,480248
693,240817,481635
694,1388,483024
695,242207,484415
696,1392,485808
697,243601,487203
698,1396,488600
699,244999,489999
700,1400,491400
701,246401,492803
702,1404,494208
703,247807,495615
704,1408,497024
705,249217,498435
706,1412,499848
707,250631,501263
708,1416,502680
709,252049,504099
710,1420,505520
711,253471,506943
712,1424,508368
713,254897,509795
714,1428,511224
715,256327,512655
716,1432,514088
717,257761,515523
718,1436,516960
719,259199,518399
720,1440,519840
721,260641,521283
722,1444,522728
723,262087,524175
724,1448,525624
725,263537,527075
726,1452,528528
727,264991,529983
728,1456,531440
729,266449,532899
730,1460,534360
731,267911,535823
732,1464,537288
733,269377,538755
734,1468,540224
735,270847,541695
736,1472,543168
737,272321,544643
738,1476,546120
739,273799,547599
740,1480,549080
741,275281,550563
742,1484,552048
743,276767,553535
744,1488,555024
745,278257,556515
746,1492,558008
747,279751,559503
748,1496,561000
749,281249,562499
750,1500,564000
