n,size,misses
2,5,8
3,6,15
4,8,24
5,10,35
6,12,48
7,33,63
8,16,80
9,41,99
10,20,120
11,74,143
12,24,168
13,71,195
14,92,224
15,30,255
16,32,288
17,109,323
18,135,360
19,163,399
20,40,440
21,155,483
22,186,528
23,219,575
24,254,624
25,50,675
26,245,728
27,283,783
28,323,840
29,365,899
30,60,960
31,355,1023
32,400,1088
33,447,1155
34,496,1224
35,70,1295
36,485,1368
37,537,1443
38,591,1520
39,647,1599
40,80,1680
41,635,1763
42,694,1848
43,755,1935
44,818,2024
45,90,2115
46,805,2208
47,871,2303
48,939,2400
49,1009,2499
50,100,2600
51,995,2703
52,1068,2808
53,1143,2915
54,1220,3024
55,110,3135
56,1205,3248
57,1285,3363
58,1367,3480
59,1451,3599
60,120,3720
61,1435,3843
62,1522,3968
63,1611,4095
64,1702,4224
65,130,4355
66,1685,4488
67,1779,4623
68,1875,4760
69,1973,4899
70,140,5040
71,1955,5183
72,2056,5328
73,2159,5475
74,2264,5624
75,150,5775
76,2245,5928
77,2353,6083
78,2463,6240
79,2575,6399
80,160,6560
81,2555,6723
82,2670,6888
83,2787,7055
84,2906,7224
85,170,7395
86,2885,7568
87,3007,7743
88,3131,7920
89,3257,8099
90,180,8280
91,3235,8463
92,3364,8648
93,3495,8835
94,3628,9024
95,190,9215
96,3605,9408
97,3741,9603
98,3879,9800
99,4019,9999
100,200,10200
101,3995,10403
102,4138,10608
103,4283,10815
104,4430,11024
105,210,11235
106,4405,11448
107,4555,11663
108,4707,11880
109,4861,12099
110,220,12320
111,4835,12543
112,4992,12768
113,5151,12995
114,5312,13224
115,230,13455
116,5285,13688
117,5449,13923
118,5615,14160
119,5783,14399
120,240,14640
121,5755,14883
122,5926,15128
123,6099,15375
124,6274,15624
125,250,15875
126,6245,16128
127,6423,16383
128,6603,16640
129,6785,16899
130,260,17160
131,6755,17423
132,6940,17688
133,7127,17955
134,7316,18224
135,270,18495
136,7285,18768
137,7477,19043
138,7671,19320
139,7867,19599
140,280,19880
141,7835,20163
142,8034,20448
143,8235,20735
144,8438,21024
145,290,21315
146,8405,21608
147,8611,21903
148,8819,22200
149,9029,22499
150,300,22800
151,8995,23103
152,9208,23408
153,9423,23715
154,9640,24024
155,310,24335
156,9605,24648
157,9825,24963
158,10047,25280
159,10271,25599
160,320,25920
161,10235,26243
162,10462,26568
163,10691,26895
164,10922,27224
165,330,27555
166,10885,27888
167,11119,28223
168,11355,28560
169,11593,28899
170,340,29240
171,11555,29583
172,11796,29928
173,12039,30275
174,12284,30624
175,350,30975
176,12245,31328
177,12493,31683
178,12743,32040
179,12995,32399
180,360,32760
181,12955,33123
182,13210,33488
183,13467,33855
184,13726,34224
185,370,34595
186,13685,34968
187,13947,35343
188,14211,35720
189,14477,36099
190,380,36480
191,14435,36863
192,14704,37248
193,14975,37635
194,15248,38024
195,390,38415
196,15205,38808
197,15481,39203
198,15759,39600
199,16039,39999
200,400,40400
201,15995,40803
202,16278,41208
203,16563,41615
204,16850,42024
205,410,42435
206,16805,42848
207,17095,43263
208,17387,43680
209,17681,44099
210,420,44520
211,17635,44943
212,17932,45368
213,18231,45795
214,18532,46224
215,430,46655
216,18485,47088
217,18789,47523
218,19095,47960
219,19403,48399
220,440,48840
221,19355,49283
