n,size,misses
2,5,8
3,6,15
4,8,24
5,25,35
6,12,48
7,41,63
8,56,80
9,18,99
10,79,120
11,99,143
12,24,168
13,129,195
14,154,224
15,30,255
16,191,288
17,221,323
18,36,360
19,265,399
20,300,440
21,42,483
22,351,528
23,391,575
24,48,624
25,449,675
26,494,728
27,54,783
28,559,840
29,609,899
30,60,960
31,681,1023
32,736,1088
33,66,1155
34,815,1224
35,875,1295
36,72,1368
37,961,1443
38,1026,1520
39,78,1599
40,1119,1680
41,1189,1763
42,84,1848
43,1289,1935
44,1364,2024
45,90,2115
46,1471,2208
47,1551,2303
48,96,2400
49,1665,2499
50,1750,2600
51,102,2703
52,1871,2808
53,1961,2915
54,108,3024
55,2089,3135
56,2184,3248
57,114,3363
58,2319,3480
59,2419,3599
60,120,3720
61,2561,3843
62,2666,3968
63,126,4095
64,2815,4224
65,2925,4355
66,132,4488
67,3081,4623
68,3196,4760
69,138,4899
70,3359,5040
71,3479,5183
72,144,5328
73,3649,5475
74,3774,5624
75,150,5775
76,3951,5928
77,4081,6083
78,156,6240
79,4265,6399
80,4400,6560
81,162,6723
82,4591,6888
83,4731,7055
84,168,7224
85,4929,7395
86,5074,7568
87,174,7743
88,5279,7920
89,5429,8099
90,180,8280
91,5641,8463
92,5796,8648
93,186,8835
94,6015,9024
95,6175,9215
96,192,9408
97,6401,9603
98,6566,9800
99,198,9999
100,6799,10200
101,6969,10403
102,204,10608
103,7209,10815
104,7384,11024
105,210,11235
106,7631,11448
107,7811,11663
108,216,11880
109,8065,12099
110,8250,12320
111,222,12543
112,8511,12768
113,8701,12995
114,228,13224
115,8969,13455
116,9164,13688
117,234,13923
118,9439,14160
119,9639,14399
120,240,14640
121,9921,14883
122,10126,15128
123,246,15375
124,10415,15624
125,10625,15875
126,252,16128
127,10921,16383
128,11136,16640
129,258,16899
130,11439,17160
131,11659,17423
132,264,17688
133,11969,17955
134,12194,18224
135,270,18495
136,12511,18768
137,12741,19043
138,276,19320
139,13065,19599
140,13300,19880
141,282,20163
142,13631,20448
143,13871,20735
144,288,21024
145,14209,21315
146,14454,21608
147,294,21903
148,14799,22200
149,15049,22499
150,300,22800
151,15401,23103
152,15656,23408
153,306,23715
154,16015,24024
155,16275,24335
156,312,24648
157,16641,24963
158,16906,25280
159,318,25599
160,17279,25920
161,17549,26243
162,324,26568
163,17929,26895
164,18204,27224
165,330,27555
166,18591,27888
167,18871,28223
168,336,28560
169,19265,28899
170,19550,29240
171,342,29583
172,19951,29928
173,20241,30275
174,348,30624
175,20649,30975
176,20944,31328
177,354,31683
178,21359,32040
179,21659,32399
180,360,32760
181,22081,33123
182,22386,33488
183,366,33855
184,22815,34224
185,23125,34595
186,372,34968
187,23561,35343
188,23876,35720
189,378,36099
190,24319,36480
191,24639,36863
192,384,37248
193,25089,37635
194,25414,38024
195,390,38415
196,25871,38808
197,26201,39203
198,396,39600
199,26665,39999
200,27000,40400
201,402,40803
202,27471,41208
203,27811,41615
204,408,42024
205,28289,42435
206,28634,42848
207,414,43263
208,29119,43680
209,29469,44099
210,420,44520
211,29961,44943
212,30316,45368
213,426,45795
214,30815,46224
215,31175,46655
216,432,47088
217,31681,47523
218,32046,47960
219,438,48399
220,32559,48840
221,32929,49283
222,444,49728
223,33449,50175
