n,size,misses
2,5,8
3,6,15
4,8,24
5,25,35
6,12,48
7,33,63
8,16,80
9,18,99
10,56,120
11,74,143
12,24,168
13,85,195
14,107,224
15,131,255
16,32,288
17,146,323
18,174,360
19,204,399
20,40,440
21,223,483
22,257,528
23,293,575
24,48,624
25,316,675
26,356,728
27,398,783
28,56,840
29,425,899
30,471,960
31,519,1023
32,64,1088
33,550,1155
34,602,1224
35,656,1295
36,72,1368
37,691,1443
38,749,1520
39,809,1599
40,80,1680
41,848,1763
42,912,1848
43,978,1935
44,88,2024
45,1021,2115
46,1091,2208
47,1163,2303
48,96,2400
49,1210,2499
50,1286,2600
51,1364,2703
52,104,2808
53,1415,2915
54,1497,3024
55,1581,3135
56,112,3248
57,1636,3363
58,1724,3480
59,1814,3599
60,120,3720
61,1873,3843
62,1967,3968
63,2063,4095
64,128,4224
65,2126,4355
66,2226,4488
67,2328,4623
68,136,4760
69,2395,4899
70,2501,5040
71,2609,5183
72,144,5328
73,2680,5475
74,2792,5624
75,2906,5775
76,152,5928
77,2981,6083
78,3099,6240
79,3219,6399
80,160,6560
81,3298,6723
82,3422,6888
83,3548,7055
84,168,7224
85,3631,7395
86,3761,7568
87,3893,7743
88,176,7920
89,3980,8099
90,4116,8280
91,4254,8463
92,184,8648
93,4345,8835
94,4487,9024
95,4631,9215
96,192,9408
97,4726,9603
98,4874,9800
99,5024,9999
100,200,10200
101,5123,10403
102,5277,10608
103,5433,10815
104,208,11024
105,5536,11235
106,5696,11448
107,5858,11663
108,216,11880
109,5965,12099
110,6131,12320
111,6299,12543
112,224,12768
113,6410,12995
114,6582,13224
115,6756,13455
116,232,13688
117,6871,13923
118,7049,14160
119,7229,14399
120,240,14640
121,7348,14883
122,7532,15128
123,7718,15375
124,248,15624
125,7841,15875
126,8031,16128
127,8223,16383
128,256,16640
129,8350,16899
130,8546,17160
131,8744,17423
132,264,17688
133,8875,17955
134,9077,18224
135,9281,18495
136,272,18768
137,9416,19043
138,9624,19320
139,9834,19599
140,280,19880
141,9973,20163
142,10187,20448
143,10403,20735
144,288,21024
145,10546,21315
146,10766,21608
147,10988,21903
148,296,22200
149,11135,22499
150,11361,22800
151,11589,23103
152,304,23408
153,11740,23715
154,11972,24024
155,12206,24335
156,312,24648
157,12361,24963
158,12599,25280
159,12839,25599
160,320,25920
161,12998,26243
162,13242,26568
163,13488,26895
164,328,27224
165,13651,27555
166,13901,27888
167,14153,28223
168,336,28560
169,14320,28899
170,14576,29240
171,14834,29583
172,344,29928
173,15005,30275
174,15267,30624
175,15531,30975
176,352,31328
177,15706,31683
178,15974,32040
179,16244,32399
180,360,32760
181,16423,33123
182,16697,33488
183,16973,33855
184,368,34224
185,17156,34595
186,17436,34968
187,17718,35343
188,376,35720
189,17905,36099
190,18191,36480
191,18479,36863
192,384,37248
193,18670,37635
194,18962,38024
195,19256,38415
196,392,38808
197,19451,39203
198,19749,39600
199,20049,39999
200,400,40400
201,20248,40803
202,20552,41208
203,20858,41615
204,408,42024
205,21061,42435
206,21371,42848
207,21683,43263
208,416,43680
209,21890,44099
210,22206,44520
211,22524,44943
212,424,45368
213,22735,45795
214,23057,46224
215,23381,46655
216,432,47088
217,23596,47523
218,23924,47960
219,24254,48399
220,440,48840
221,24473,49283
