n,size,misses
419,58869,176399
420,840,177240
421,58302,178083
422,58864,178928
423,59428,179775
424,59994,180624
425,60562,181475
426,852,182328
427,59987,183183
428,60557,184040
429,61129,184899
430,61703,185760
431,62279,186623
432,864,187488
433,61696,188355
434,62274,189224
435,62854,190095
436,63436,190968
437,64020,191843
438,876,192720
439,63429,193599
440,64015,194480
441,64603,195363
442,65193,196248
443,65785,197135
444,888,198024
445,65186,198915
446,65780,199808
447,66376,200703
448,66974,201600
449,67574,202499
450,900,203400
451,66967,204303
452,67569,205208
453,68173,206115
454,68779,207024
455,69387,207935
456,912,208848
457,68772,209763
458,69382,210680
459,69994,211599
460,70608,212520
461,71224,213443
462,924,214368
463,70601,215295
464,71219,216224
465,71839,217155
466,72461,218088
467,73085,219023
468,936,219960
469,72454,220899
470,73080,221840
471,73708,222783
472,74338,223728
473,74970,224675
474,948,225624
475,74331,226575
476,74965,227528
477,75601,228483
478,76239,229440
479,76879,230399
480,960,231360
481,76232,232323
482,76874,233288
483,77518,234255
484,78164,235224
485,78812,236195
486,972,237168
487,78157,238143
488,78807,239120
489,79459,240099
490,80113,241080
491,80769,242063
492,984,243048
493,80106,244035
494,80764,245024
495,81424,246015
496,82086,247008
497,82750,248003
498,996,249000
499,82079,249999
500,82745,251000
501,83413,252003
502,84083,253008
503,84755,254015
504,1008,255024
505,84076,256035
506,84750,257048
507,85426,258063
508,86104,259080
509,86784,260099
510,1020,261120
511,86097,262143
512,86779,263168
513,87463,264195
514,88149,265224
515,88837,266255
516,1032,267288
517,88142,268323
518,88832,269360
519,89524,270399
520,90218,271440
521,90914,272483
522,1044,273528
523,90211,274575
524,90909,275624
525,91609,276675
526,92311,277728
527,93015,278783
528,1056,279840
529,92304,280899
530,93010,281960
531,93718,283023
532,94428,284088
533,95140,285155
534,1068,286224
535,94421,287295
536,95135,288368
537,95851,289443
538,96569,290520
539,97289,291599
540,1080,292680
541,96562,293763
542,97284,294848
543,98008,295935
544,98734,297024
545,99462,298115
546,1092,299208
547,98727,300303
548,99457,301400
549,100189,302499
550,100923,303600
551,101659,304703
552,1104,305808
553,100916,306915
554,101654,308024
555,102394,309135
556,103136,310248
557,103880,311363
558,1116,312480
559,103129,313599
560,103875,314720
561,104623,315843
562,105373,316968
563,106125,318095
564,1128,319224
565,105366,320355
566,106120,321488
567,106876,322623
568,107634,323760
569,108394,324899
570,1140,326040
571,107627,327183
572,108389,328328
573,109153,329475
574,109919,330624
575,110687,331775
576,1152,332928
577,109912,334083
578,110682,335240
579,111454,336399
580,112228,337560
581,113004,338723
582,1164,339888
583,112221,341055
584,112999,342224
585,113779,343395
586,114561,344568
587,115345,345743
588,1176,346920
589,114554,348099
590,115340,349280
591,116128,350463
592,116918,351648
593,117710,352835
594,1188,354024
595,116911,355215
596,117705,356408
597,118501,357603
598,119299,358800
599,120099,359999
600,1200,361200
601,119292,362403
602,120094,363608
603,120898,364815
604,121704,366024
605,122512,367235
606,1212,368448
607,121697,369663
608,122507,370880
609,123319,372099
610,124133,373320
611,124949,374543
612,1224,375768
613,124126,376995
614,124944,378224
615,125764,379455
616,126586,380688
617,127410,381923
618,1236,383160
619,126579,384399
620,127405,385640
621,128233,386883
622,129063,388128
623,129895,389375
624,1248,390624
625,129056,391875
626,129890,393128
627,130726,394383
628,131564,395640
629,132404,396899
630,1260,398160
631,131557,399423
632,132399,400688
633,133243,401955
634,134089,403224
635,134937,404495
636,1272,405768
637,134082,407043
638,134932,408320
639,135784,409599
640,136638,410880
641,137494,412163
642,1284,413448
643,136631,414735
644,137489,416024
645,138349,417315
646,139211,418608
647,140075,419903
648,1296,421200
649,139204,422499
650,140070,423800
651,140938,425103
652,141808,426408
653,142680,427715
654,1308,429024
655,141801,430335
656,142675,431648
657,143551,432963
658,144429,434280
659,145309,435599
660,1320,436920
661,144422,438243
662,145304,439568
663,146188,440895
664,147074,442224
665,147962,443555
666,1332,444888
667,147067,446223
668,147957,447560
669,148849,448899
670,149743,450240
671,150639,451583
672,1344,452928
673,149736,454275
674,150634,455624
675,151534,456975
676,152436,458328
677,153340,459683
678,1356,461040
679,152429,462399
680,153335,463760
681,154243,465123
682,155153,466488
683,156065,467855
684,1368,469224
685,155146,470595
686,156060,471968
687,156976,473343
688,157894,474720
689,158814,476099
690,1380,477480
691,157887,478863
692,158809,480248
693,159733,481635
694,160659,483024
695,161587,484415
696,1392,485808
697,160652,487203
698,161582,488600
699,162514,489999
700,163448,491400
701,164384,492803
702,1404,494208
703,163441,495615
704,164379,497024
705,165319,498435
706,166261,499848
707,167205,501263
708,1416,502680
709,166254,504099
710,167200,505520
711,168148,506943
712,169098,508368
713,170050,509795
714,1428,511224
715,169091,512655
716,170045,514088
717,171001,515523
718,171959,516960
719,172919,518399
720,1440,519840
721,171952,521283
722,172914,522728
723,173878,524175
724,174844,525624
725,175812,527075
726,1452,528528
727,174837,529983
728,175807,531440
729,176779,532899
730,177753,534360
731,178729,535823
732,1464,537288
733,177746,538755
734,178724,540224
735,179704,541695
736,180686,543168
737,181670,544643
738,1476,546120
739,180679,547599
740,181665,549080
741,182653,550563
742,183643,552048
743,184635,553535
744,1488,555024
745,183636,556515
746,184630,558008
747,185626,559503
748,186624,561000
749,187624,562499
750,1500,564000
751,186617,565503
752,187619,567008
753,188623,568515
754,189629,570024
755,190637,571535
756,1512,573048
757,189622,574563
758,190632,576080
759,191644,577599
760,192658,579120
761,193674,580643
762,1524,582168
763,192651,583695
764,193669,585224
765,194689,586755
766,195711,588288
767,196735,589823
768,1536,591360
769,195704,592899
770,196730,594440
771,197758,595983
772,198788,597528
773,199820,599075
774,1548,600624
775,198781,602175
776,199815,603728
777,200851,605283
778,201889,606840
779,202929,608399
780,1560,609960
781,201882,611523
782,202924,613088
783,203968,614655
784,205014,616224
785,206062,617795
786,1572,619368
787,205007,620943
788,206057,622520
789,207109,624099
790,208163,625680
791,209219,627263
792,1584,628848
793,208156,630435
794,209214,632024
795,210274,633615
796,211336,635208
797,212400,636803
798,1596,638400
799,211329,639999
800,212395,641600
801,213463,643203
802,214533,644808
803,215605,646415
804,1608,648024
805,214526,649635
806,215600,651248
807,216676,652863
808,217754,654480
809,218834,656099
810,1620,657720
811,217747,659343
812,218829,660968
813,219913,662595
814,220999,664224
815,222087,665855
816,1632,667488
817,220992,669123
818,222082,670760
819,223174,672399
820,224268,674040
821,225364,675683
822,1644,677328
823,224261,678975
824,225359,680624
825,226459,682275
826,227561,683928
827,228665,685583
828,1656,687240
829,227554,688899
830,228660,690560
831,229768,692223
832,230878,693888
833,231990,695555
834,1668,697224
835,230871,698895
836,231985,700568
837,233101,702243
838,234219,703920
839,235339,705599
840,1680,707280
841,234212,708963
842,235334,710648
843,236458,712335
844,237584,714024
845,238712,715715
846,1692,717408
847,237577,719103
848,238707,720800
849,239839,722499
850,240973,724200
851,242109,725903
852,1704,727608
853,240966,729315
854,242104,731024
855,243244,732735
856,244386,734448
857,245530,736163
858,1716,737880
859,244379,739599
860,245525,741320
861,246673,743043
862,247823,744768
863,248975,746495
864,1728,748224
865,247816,749955
866,248970,751688
867,250126,753423
868,251284,755160
869,252444,756899
870,1740,758640
871,251277,760383
872,252439,762128
873,253603,763875
874,254769,765624
875,255937,767375
876,1752,769128
877,254762,770883
878,255932,772640
879,257104,774399
880,258278,776160
881,259454,777923
882,1764,779688
883,258271,781455
884,259449,783224
885,260629,784995
886,261811,786768
887,262995,788543
888,1776,790320
889,261804,792099
890,262990,793880
891,264178,795663
892,265368,797448
893,266560,799235
894,1788,801024
895,265361,802815
896,266555,804608
897,267751,806403
898,268949,808200
899,270149,809999
900,1800,811800
901,268942,813603
902,270144,815408
903,271348,817215
904,272554,819024
905,273762,820835
906,1812,822648
907,272547,824463
908,273757,826280
909,274969,828099
910,276183,829920
911,277399,831743
912,1824,833568
913,276176,835395
914,277394,837224
915,278614,839055
916,279836,840888
917,281060,842723
918,1836,844560
919,279829,846399
920,281055,848240
921,282283,850083
922,283513,851928
923,284745,853775
924,1848,855624
925,283506,857475
926,284740,859328
927,285976,861183
928,287214,863040
929,288454,864899
930,1860,866760
931,287207,868623
932,288449,870488
933,289693,872355
934,290939,874224
935,292187,876095
936,1872,877968
937,290932,879843
938,292182,881720
939,293434,883599
940,294688,885480
941,295944,887363
942,1884,889248
943,294681,891135
944,295939,893024
945,297199,894915
946,298461,896808
947,299725,898703
948,1896,900600
949,298454,902499
950,299720,904400
951,300988,906303
952,302258,908208
953,303530,910115
954,1908,912024
955,302251,913935
956,303525,915848
957,304801,917763
958,306079,919680
959,307359,921599
960,1920,923520
961,306072,925443
962,307354,927368
963,308638,929295
964,309924,931224
965,311212,933155
966,1932,935088
967,309917,937023
968,311207,938960
969,312499,940899
970,313793,942840
971,315089,944783
972,1944,946728
973,313786,948675
974,315084,950624
975,316384,952575
976,317686,954528
977,318990,956483
978,1956,958440
979,317679,960399
980,318985,962360
981,320293,964323
982,321603,966288
983,322915,968255
984,1968,970224
985,321596,972195
986,322910,974168
987,324226,976143
988,325544,978120
989,326864,980099
990,1980,982080
991,325537,984063
992,326859,986048
993,328183,988035
994,329509,990024
995,330837,992015
996,1992,994008
997,329502,996003
998,330832,998000
999,332164,999999
1000,333498,1002000
1001,334834,1004003
1002,2004,1006008
1003,333491,1008015
1004,334829,1010024
1005,336169,1012035
1006,337511,1014048
1007,338855,1016063
1008,2016,1018080
1009,337504,1020099
1010,338850,1022120
1011,340198,1024143
1012,341548,1026168
1013,342900,1028195
1014,2028,1030224
1015,341541,1032255
1016,342895,1034288
1017,344251,1036323
1018,345609,1038360
1019,346969,1040399
1020,2040,1042440
1021,345602,1044483
1022,346964,1046528
1023,348328,1048575
1024,349694,1050624
1025,351062,1052675
1026,2052,1054728
1027,349687,1056783
1028,351057,1058840
1029,352429,1060899
1030,353803,1062960
1031,355179,1065023
1032,2064,1067088
1033,353796,1069155
1034,355174,1071224
1035,356554,1073295
1036,357936,1075368
1037,359320,1077443
1038,2076,1079520
1039,357929,1081599
1040,359315,1083680
1041,360703,1085763
1042,362093,1087848
1043,363485,1089935
1044,2088,1092024
1045,362086,1094115
1046,363480,1096208
1047,364876,1098303
1048,366274,1100400
1049,367674,1102499
1050,2100,1104600
1051,366267,1106703
1052,367669,1108808
1053,369073,1110915
1054,370479,1113024
1055,371887,1115135
1056,2112,1117248
1057,370472,1119363
1058,371882,1121480
1059,373294,1123599
1060,374708,1125720
1061,376124,1127843
1062,2124,1129968
1063,374701,1132095
1064,376119,1134224
1065,377539,1136355
1066,378961,1138488
1067,380385,1140623
1068,2136,1142760
1069,378954,1144899
1070,380380,1147040
1071,381808,1149183
1072,383238,1151328
1073,384670,1153475
1074,2148,1155624
1075,383231,1157775
1076,384665,1159928
1077,386101,1162083
1078,387539,1164240
1079,388979,1166399
1080,2160,1168560
1081,387532,1170723
1082,388974,1172888
1083,390418,1175055
1084,391864,1177224
1085,393312,1179395
1086,2172,1181568
1087,391857,1183743
1088,393307,1185920
1089,394759,1188099
1090,396213,1190280
1091,397669,1192463
1092,2184,1194648
1093,396206,1196835
1094,397664,1199024
1095,399124,1201215
1096,400586,1203408
1097,402050,1205603
1098,2196,1207800
1099,400579,1209999
1100,402045,1212200
1101,403513,1214403
1102,404983,1216608
1103,406455,1218815
1104,2208,1221024
1105,404976,1223235
1106,406450,1225448
1107,407926,1227663
1108,409404,1229880
1109,410884,1232099
1110,2220,1234320
1111,409397,1236543
1112,410879,1238768
1113,412363,1240995
1114,413849,1243224
1115,415337,1245455
1116,2232,1247688
1117,413842,1249923
1118,415332,1252160
1119,416824,1254399
1120,418318,1256640
1121,419814,1258883
1122,2244,1261128
1123,418311,1263375
1124,419809,1265624
1125,421309,1267875
1126,422811,1270128
1127,424315,1272383
1128,2256,1274640
1129,422804,1276899
1130,424310,1279160
1131,425818,1281423
1132,427328,1283688
1133,428840,1285955
1134,2268,1288224
1135,427321,1290495
1136,428835,1292768
1137,430351,1295043
1138,431869,1297320
1139,433389,1299599
1140,2280,1301880
1141,431862,1304163
1142,433384,1306448
1143,434908,1308735
1144,436434,1311024
1145,437962,1313315
1146,2292,1315608
1147,436427,1317903
1148,437957,1320200
1149,439489,1322499
1150,441023,1324800
1151,442559,1327103
1152,2304,1329408
1153,441016,1331715
1154,442554,1334024
1155,444094,1336335
1156,445636,1338648
1157,447180,1340963
1158,2316,1343280
1159,445629,1345599
1160,447175,1347920
1161,448723,1350243
1162,450273,1352568
1163,451825,1354895
1164,2328,1357224
1165,450266,1359555
1166,451820,1361888
1167,453376,1364223
1168,454934,1366560
1169,456494,1368899
1170,2340,1371240
1171,454927,1373583
1172,456489,1375928
1173,458053,1378275
1174,459619,1380624
1175,461187,1382975
1176,2352,1385328
1177,459612,1387683
1178,461182,1390040
1179,462754,1392399
1180,464328,1394760
1181,465904,1397123
1182,2364,1399488
1183,464321,1401855
1184,465899,1404224
1185,467479,1406595
1186,469061,1408968
1187,470645,1411343
1188,2376,1413720
1189,469054,1416099
1190,470640,1418480
1191,472228,1420863
1192,473818,1423248
1193,475410,1425635
1194,2388,1428024
1195,473811,1430415
1196,475405,1432808
1197,477001,1435203
1198,478599,1437600
1199,480199,1439999
1200,2400,1442400
1201,478592,1444803
1202,480194,1447208
1203,481798,1449615
1204,483404,1452024
1205,485012,1454435
1206,2412,1456848
1207,483397,1459263
1208,485007,1461680
1209,486619,1464099
1210,488233,1466520
1211,489849,1468943
1212,2424,1471368
1213,488226,1473795
1214,489844,1476224
1215,491464,1478655
1216,493086,1481088
1217,494710,1483523
1218,2436,1485960
1219,493079,1488399
1220,494705,1490840
1221,496333,1493283
1222,497963,1495728
1223,499595,1498175
1224,2448,1500624
1225,497956,1503075
1226,499590,1505528
1227,501226,1507983
1228,502864,1510440
1229,504504,1512899
1230,2460,1515360
1231,502857,1517823
1232,504499,1520288
1233,506143,1522755
1234,507789,1525224
1235,509437,1527695
1236,2472,1530168
1237,507782,1532643
1238,509432,1535120
1239,511084,1537599
1240,512738,1540080
1241,514394,1542563
1242,2484,1545048
1243,512731,1547535
1244,514389,1550024
1245,516049,1552515
1246,517711,1555008
1247,519375,1557503
1248,2496,1560000
1249,517704,1562499
1250,519370,1565000
1251,521038,1567503
1252,522708,1570008
1253,524380,1572515
1254,2508,1575024
1255,522701,1577535
1256,524375,1580048
1257,526051,1582563
1258,527729,1585080
1259,529409,1587599
1260,2520,1590120
1261,527722,1592643
1262,529404,1595168
1263,531088,1597695
1264,532774,1600224
1265,534462,1602755
1266,2532,1605288
1267,532767,1607823
1268,534457,1610360
1269,536149,1612899
1270,537843,1615440
1271,539539,1617983
1272,2544,1620528
1273,537836,1623075
1274,539534,1625624
1275,541234,1628175
1276,542936,1630728
1277,544640,1633283
1278,2556,1635840
1279,542929,1638399
1280,544635,1640960
1281,546343,1643523
1282,548053,1646088
1283,549765,1648655
1284,2568,1651224
1285,548046,1653795
1286,549760,1656368
1287,551476,1658943
1288,553194,1661520
1289,554914,1664099
1290,2580,1666680
1291,553187,1669263
1292,554909,1671848
1293,556633,1674435
1294,558359,1677024
1295,560087,1679615
1296,2592,1682208
1297,558352,1684803
1298,560082,1687400
1299,561814,1689999
1300,563548,1692600
1301,565284,1695203
1302,2604,1697808
1303,563541,1700415
1304,565279,1703024
1305,567019,1705635
1306,568761,1708248
1307,570505,1710863
1308,2616,1713480
1309,568754,1716099
1310,570500,1718720
1311,572248,1721343
1312,573998,1723968
1313,575750,1726595
1314,2628,1729224
1315,573991,1731855
1316,575745,1734488
1317,577501,1737123
1318,579259,1739760
1319,581019,1742399
1320,2640,1745040
1321,579252,1747683
1322,581014,1750328
1323,582778,1752975
1324,584544,1755624
1325,586312,1758275
1326,2652,1760928
1327,584537,1763583
1328,586307,1766240
1329,588079,1768899
1330,589853,1771560
1331,591629,1774223
1332,2664,1776888
1333,589846,1779555
1334,591624,1782224
1335,593404,1784895
1336,595186,1787568
1337,596970,1790243
1338,2676,1792920
1339,595179,1795599
1340,596965,1798280
1341,598753,1800963
1342,600543,1803648
1343,602335,1806335
1344,2688,1809024
1345,600536,1811715
1346,602330,1814408
1347,604126,1817103
1348,605924,1819800
1349,607724,1822499
1350,2700,1825200
1351,605917,1827903
1352,607719,1830608
1353,609523,1833315
1354,611329,1836024
1355,613137,1838735
1356,2712,1841448
1357,611322,1844163
1358,613132,1846880
1359,614944,1849599
1360,616758,1852320
1361,618574,1855043
1362,2724,1857768
1363,616751,1860495
1364,618569,1863224
1365,620389,1865955
1366,622211,1868688
1367,624035,1871423
1368,2736,1874160
1369,622204,1876899
1370,624030,1879640
1371,625858,1882383
1372,627688,1885128
1373,629520,1887875
1374,2748,1890624
1375,627681,1893375
1376,629515,1896128
1377,631351,1898883
1378,633189,1901640
1379,635029,1904399
1380,2760,1907160
1381,633182,1909923
1382,635024,1912688
1383,636868,1915455
1384,638714,1918224
1385,640562,1920995
1386,2772,1923768
1387,638707,1926543
1388,640557,1929320
1389,642409,1932099
1390,644263,1934880
1391,646119,1937663
1392,2784,1940448
1393,644256,1943235
1394,646114,1946024
1395,647974,1948815
1396,649836,1951608
1397,651700,1954403
1398,2796,1957200
1399,649829,1959999
1400,651695,1962800
1401,653563,1965603
1402,655433,1968408
1403,657305,1971215
1404,2808,1974024
1405,655426,1976835
1406,657300,1979648
1407,659176,1982463
1408,661054,1985280
1409,662934,1988099
1410,2820,1990920
1411,661047,1993743
1412,662929,1996568
1413,664813,1999395
1414,666699,2002224
1415,668587,2005055
1416,2832,2007888
1417,666692,2010723
1418,668582,2013560
1419,670474,2016399
1420,672368,2019240
1421,674264,2022083
1422,2844,2024928
1423,672361,2027775
1424,674259,2030624
1425,676159,2033475
1426,678061,2036328
1427,679965,2039183
1428,2856,2042040
1429,678054,2044899
1430,679960,2047760
1431,681868,2050623
1432,683778,2053488
1433,685690,2056355
1434,2868,2059224
1435,683771,2062095
1436,685685,2064968
1437,687601,2067843
