n,size,misses
3,4,11
4,4,19
5,5,29
6,10,40
7,11,56
8,14,71
9,15,91
10,18,110
11,28,131
12,29,153
13,30,184
14,37,211
15,38,239
16,49,265
17,50,308
18,63,343
19,64,379
20,65,416
21,75,463
22,96,506
23,97,550
24,98,595
25,99,641
26,136,700
27,137,752
28,138,805
29,139,859
30,141,914
31,184,985
32,185,1046
33,186,1108
34,187,1171
35,196,1235
36,239,1318
37,240,1388
38,241,1459
39,242,1531
40,260,1604
41,301,1699
42,302,1778
43,303,1858
44,304,1939
45,333,2021
46,370,2128
47,371,2216
48,372,2305
49,373,2395
50,415,2486
51,446,2605
52,447,2702
53,448,2800
54,451,2899
55,506,2999
56,529,3130
57,530,3236
58,531,3343
59,546,3451
60,606,3560
61,619,3703
62,620,3818
63,621,3934
64,650,4051
65,715,4169
66,716,4324
67,717,4448
68,718,4573
69,763,4699
70,833,4826
71,820,4993
72,821,5126
73,822,5260
74,885,5395
75,960,5531
76,931,5710
77,932,5852
78,937,5995
79,1016,6139
80,1096,6284
81,1049,6475
82,1050,6626
83,1072,6778
84,1156,6931
85,1241,7085
86,1174,7288
87,1175,7448
88,1216,7609
89,1305,7771
90,1395,7934
91,1306,8149
92,1307,8318
93,1369,8488
94,1463,8659
95,1558,8831
96,1445,9058
97,1446,9236
98,1531,9415
99,1630,9595
100,1730,9776
101,1591,10015
102,1599,10202
103,1702,10390
104,1806,10579
105,1911,10769
106,1744,11020
107,1774,11216
108,1882,11413
109,1991,11611
110,2101,11810
111,1904,12073
112,1958,12278
113,2071,12484
114,2185,12691
115,2300,12899
116,2071,13174
117,2151,13388
118,2269,13603
119,2388,13819
120,2508,14036
121,2245,14323
122,2353,14546
123,2476,14770
124,2600,14995
125,2725,15221
126,2437,15520
127,2564,15752
128,2692,15985
129,2821,16219
130,2951,16454
131,2652,16765
132,2784,17006
133,2917,17248
134,3051,17491
135,3186,17735
136,2876,18058
137,3013,18308
138,3151,18559
139,3290,18811
140,3430,19064
141,3109,19399
142,3251,19658
143,3394,19918
144,3538,20179
145,3683,20441
146,3351,20788
147,3498,21056
148,3646,21325
149,3795,21595
150,3945,21866
151,3602,22225
152,3754,22502
153,3907,22780
154,4061,23059
155,4216,23339
156,3862,23710
157,4019,23996
158,4177,24283
159,4336,24571
160,4496,24860
161,4131,25243
162,4293,25538
163,4456,25834
164,4620,26131
165,4785,26429
166,4409,26824
167,4576,27128
168,4744,27433
169,4913,27739
170,5083,28046
171,4696,28453
172,4868,28766
173,5041,29080
174,5215,29395
175,5390,29711
176,4992,30130
177,5169,30452
178,5347,30775
179,5526,31099
180,5706,31424
181,5297,31855
182,5479,32186
183,5662,32518
184,5846,32851
185,6031,33185
186,5611,33628
187,5798,33968
188,5986,34309
189,6175,34651
190,6365,34994
191,5934,35449
192,6126,35798
193,6319,36148
194,6513,36499
195,6708,36851
196,6266,37318
197,6463,37676
198,6661,38035
199,6860,38395
200,7060,38756
201,6607,39235
