n,size,misses
3,4,11
4,4,19
5,5,29
6,10,40
7,11,56
8,14,71
9,20,85
10,21,110
11,28,131
12,29,153
13,34,181
14,47,208
15,48,236
16,49,265
17,71,302
18,72,336
19,73,371
20,75,407
21,101,453
22,102,494
23,103,536
24,111,579
25,136,634
26,137,682
27,138,731
28,154,781
29,176,845
30,177,900
31,178,956
32,204,1013
33,221,1086
34,222,1148
35,225,1211
36,261,1275
37,271,1357
38,272,1426
39,285,1496
40,325,1567
41,326,1658
42,327,1734
43,352,1811
44,396,1889
45,386,1989
46,387,2072
47,426,2156
48,474,2241
49,451,2350
50,456,2440
51,507,2531
52,559,2623
53,521,2741
54,540,2838
55,595,2936
56,651,3035
57,596,3162
58,631,3266
59,690,3371
60,750,3477
61,676,3613
62,729,3724
63,792,3836
64,856,3949
65,768,4094
66,834,4212
67,901,4331
68,969,4451
69,876,4605
70,946,4730
71,1017,4856
72,1089,4983
73,991,5146
74,1065,5278
75,1140,5411
76,1216,5545
77,1113,5717
78,1191,5856
79,1270,5996
80,1350,6137
81,1242,6318
82,1324,6464
83,1407,6611
84,1491,6759
85,1378,6949
86,1464,7102
87,1551,7256
88,1639,7411
89,1521,7610
90,1611,7770
91,1702,7931
92,1794,8093
93,1671,8301
94,1765,8468
95,1860,8636
96,1956,8805
97,1828,9022
98,1926,9196
99,2025,9371
100,2125,9547
101,1992,9773
102,2094,9954
103,2197,10136
104,2301,10319
105,2163,10554
106,2269,10742
107,2376,10931
108,2484,11121
109,2341,11365
110,2451,11560
111,2562,11756
112,2674,11953
113,2526,12206
114,2640,12408
115,2755,12611
116,2871,12815
117,2718,13077
118,2836,13286
119,2955,13496
120,3075,13707
121,2917,13978
122,3039,14194
123,3162,14411
124,3286,14629
125,3123,14909
126,3249,15132
127,3376,15356
128,3504,15581
129,3336,15870
130,3466,16100
131,3597,16331
132,3729,16563
133,3556,16861
134,3690,17098
135,3825,17336
136,3961,17575
137,3783,17882
138,3921,18126
139,4060,18371
140,4200,18617
141,4017,18933
142,4159,19184
143,4302,19436
144,4446,19689
145,4258,20014
146,4404,20272
147,4551,20531
148,4699,20791
149,4506,21125
150,4656,21390
151,4807,21656
152,4959,21923
153,4761,22266
154,4915,22538
155,5070,22811
156,5226,23085
157,5023,23437
158,5181,23716
159,5340,23996
160,5500,24277
161,5292,24638
162,5454,24924
163,5617,25211
164,5781,25499
165,5568,25869
166,5734,26162
167,5901,26456
168,6069,26751
169,5851,27130
170,6021,27430
171,6192,27731
172,6364,28033
173,6141,28421
174,6315,28728
175,6490,29036
176,6666,29345
177,6438,29742
178,6616,30056
179,6795,30371
180,6975,30687
181,6742,31093
182,6924,31414
183,7107,31736
184,7291,32059
185,7053,32474
186,7239,32802
187,7426,33131
188,7614,33461
189,7371,33885
190,7561,34220
191,7752,34556
192,7944,34893
193,7696,35326
194,7890,35668
195,8085,36011
196,8281,36355
197,8028,36797
198,8226,37146
199,8425,37496
200,8625,37847
201,8367,38298
