n,size,misses
3,4,11
4,4,19
5,5,29
6,6,41
7,7,55
8,14,71
9,15,91
10,18,110
11,19,134
12,22,157
13,23,185
14,26,212
15,38,239
16,39,276
17,46,309
18,47,343
19,48,386
20,55,425
21,56,465
22,79,510
23,80,554
24,81,599
25,82,658
26,95,709
27,96,761
28,97,814
29,123,869
30,124,925
31,125,1001
32,146,1064
33,147,1128
34,148,1193
35,149,1259
36,176,1321
37,177,1415
38,208,1490
39,209,1566
40,210,1643
41,211,1721
42,212,1800
43,238,1900
44,281,1987
45,282,2075
46,283,2164
47,284,2254
48,285,2345
49,286,2437
50,365,2555
51,366,2655
52,367,2756
53,368,2858
54,369,2961
55,370,3065
56,372,3170
57,461,3306
58,462,3419
59,463,3533
60,464,3648
61,465,3764
62,466,3881
63,477,3999
64,568,4153
65,569,4279
66,570,4406
67,571,4534
68,572,4663
69,573,4793
70,595,4924
71,686,5096
72,687,5235
73,688,5375
74,689,5516
75,690,5658
76,691,5801
77,726,5945
78,815,6135
79,816,6287
80,817,6440
81,818,6594
82,819,6749
83,820,6905
84,870,7062
85,955,7270
86,956,7435
87,957,7601
88,958,7768
89,959,7936
90,960,8105
91,1027,8275
92,1106,8501
93,1107,8679
94,1108,8858
95,1109,9038
96,1110,9219
97,1111,9401
98,1197,9584
99,1268,9828
100,1269,10019
101,1270,10211
102,1271,10404
103,1272,10598
104,1275,10793
105,1380,10989
106,1441,11251
107,1442,11455
108,1443,11660
109,1444,11866
110,1445,12073
111,1464,12281
112,1576,12490
113,1625,12770
114,1626,12987
115,1627,13205
116,1628,13424
117,1629,13644
118,1666,13865
119,1785,14087
120,1820,14385
121,1821,14615
122,1822,14846
123,1823,15078
124,1824,15311
125,1881,15545
126,2007,15780
127,2026,16096
128,2027,16339
129,2028,16583
130,2029,16828
131,2030,17074
132,2109,17321
133,2242,17569
134,2243,17903
135,2244,18159
136,2245,18416
137,2246,18674
138,2247,18933
139,2350,19193
140,2490,19454
141,2471,19806
142,2472,20075
143,2473,20345
144,2474,20616
145,2475,20888
146,2604,21161
147,2751,21435
148,2710,21805
149,2711,22087
150,2712,22370
151,2713,22654
152,2718,22939
153,2871,23225
154,3025,23512
155,2960,23900
156,2961,24195
157,2962,24491
158,2963,24788
159,2991,25086
160,3151,25385
161,3312,25685
162,3221,26091
163,3222,26399
164,3223,26708
165,3224,27018
166,3277,27329
167,3444,27641
168,3612,27954
169,3493,28378
170,3494,28699
171,3495,29021
172,3496,29344
173,3576,29668
174,3750,29993
175,3925,30319
176,3776,30761
177,3777,31095
178,3778,31430
179,3779,31766
180,3888,32103
181,4069,32441
182,4251,32780
183,4070,33240
184,4071,33587
185,4072,33935
186,4073,34284
187,4213,34634
188,4401,34985
189,4590,35337
190,4375,35815
191,4376,36175
192,4377,36536
193,4378,36898
194,4551,37261
195,4746,37625
196,4942,37990
197,4691,38486
198,4692,38859
199,4693,39233
200,4701,39608
201,4902,39984
