n,size,misses
3,4,11
4,4,19
5,5,29
6,6,41
7,11,56
8,14,71
9,15,91
10,18,110
11,19,134
12,22,157
13,30,184
14,37,211
15,38,239
16,39,276
17,46,309
18,47,343
19,64,379
20,65,416
21,66,467
22,79,510
23,80,554
24,81,599
25,99,641
26,100,707
27,121,760
28,122,814
29,123,869
30,124,925
31,141,996
32,172,1059
33,173,1123
34,174,1188
35,175,1254
36,176,1321
37,232,1407
38,233,1481
39,234,1556
40,235,1632
41,236,1709
42,238,1787
43,302,1888
44,303,1973
45,304,2059
46,305,2146
47,306,2234
48,316,2323
49,381,2439
50,382,2535
51,383,2632
52,384,2730
53,385,2829
54,405,2929
55,469,3060
56,470,3167
57,471,3275
58,472,3384
59,473,3494
60,505,3605
61,566,3751
62,567,3869
63,568,3988
64,569,4108
65,570,4229
66,616,4351
67,672,4512
68,673,4641
69,674,4771
70,675,4902
71,676,5034
72,738,5167
73,787,5343
74,788,5483
75,789,5624
76,790,5766
77,793,5909
78,871,6053
79,911,6244
80,912,6395
81,913,6547
82,914,6700
83,931,6854
84,1015,7009
85,1044,7215
86,1045,7377
87,1046,7540
88,1047,7704
89,1080,7869
90,1170,8035
91,1186,8256
92,1187,8429
93,1188,8603
94,1189,8778
95,1240,8954
96,1336,9131
97,1337,9367
98,1338,9551
99,1339,9736
100,1340,9922
101,1411,10109
102,1513,10297
103,1497,10548
104,1498,10743
105,1499,10939
106,1500,11136
107,1593,11334
108,1701,11533
109,1666,11799
110,1667,12005
111,1668,12212
112,1673,12420
113,1786,12629
114,1900,12839
115,1844,13120
116,1845,13337
117,1846,13555
118,1871,13774
119,1990,13994
120,2110,14215
121,2031,14511
122,2032,14739
123,2033,14968
124,2080,15198
125,2205,15429
126,2331,15661
127,2227,15972
128,2228,16211
129,2229,16451
130,2300,16692
131,2431,16934
132,2563,17177
133,2432,17503
134,2433,17753
135,2434,18004
136,2531,18256
137,2668,18509
138,2806,18763
139,2646,19104
140,2647,19365
141,2648,19627
142,2773,19890
143,2916,20154
144,3060,20419
145,2869,20775
146,2870,21047
147,2878,21320
148,3026,21594
149,3175,21869
150,3325,22145
151,3101,22516
152,3102,22799
153,3136,23083
154,3290,23368
155,3445,23654
156,3601,23941
157,3342,24327
158,3343,24621
159,3405,24916
160,3565,25212
161,3726,25509
162,3888,25807
163,3592,26208
164,3593,26513
165,3685,26819
166,3851,27126
167,4018,27434
168,4186,27743
169,3851,28159
170,3852,28475
171,3976,28792
172,4148,29110
173,4321,29429
174,4495,29749
175,4119,30180
176,4120,30507
177,4278,30835
178,4456,31164
179,4635,31494
180,4815,31825
181,4396,32271
182,4408,32609
183,4591,32948
184,4775,33288
185,4960,33629
186,5146,33971
187,4682,34432
188,4726,34781
189,4915,35131
190,5105,35482
191,5296,35834
192,5488,36187
193,4977,36663
194,5055,37023
195,5250,37384
196,5446,37746
197,5643,38109
198,5841,38473
199,5281,38964
200,5395,39335
201,5596,39707
