n,size,misses
3,4,10
4,5,17
5,6,25
6,12,35
7,14,46
8,22,59
9,25,73
10,35,89
11,39,106
12,51,125
13,56,145
14,70,167
15,76,190
16,92,215
17,99,241
18,117,269
19,125,298
20,145,329
21,154,361
22,176,395
23,186,430
24,210,467
25,221,505
26,247,545
27,259,586
28,287,629
29,300,673
30,330,719
31,344,766
32,376,815
33,391,865
34,425,917
35,441,970
36,477,1025
37,494,1081
38,532,1139
39,550,1198
40,590,1259
41,609,1321
42,651,1385
43,671,1450
44,715,1517
45,736,1585
46,782,1655
47,804,1726
48,852,1799
49,875,1873
50,925,1949
51,949,2026
52,1001,2105
53,1026,2185
54,1080,2267
55,1106,2350
56,1162,2435
57,1189,2521
58,1247,2609
59,1275,2698
60,1335,2789
61,1364,2881
62,1426,2975
63,1456,3070
64,1520,3167
65,1551,3265
66,1617,3365
67,1649,3466
68,1717,3569
69,1750,3673
70,1820,3779
71,1854,3886
72,1926,3995
73,1961,4105
74,2035,4217
75,2071,4330
76,2147,4445
77,2184,4561
78,2262,4679
79,2300,4798
80,2380,4919
81,2419,5041
82,2501,5165
83,2541,5290
84,2625,5417
85,2666,5545
86,2752,5675
87,2794,5806
88,2882,5939
89,2925,6073
90,3015,6209
91,3059,6346
92,3151,6485
93,3196,6625
94,3290,6767
95,3336,6910
96,3432,7055
97,3479,7201
98,3577,7349
99,3625,7498
100,3725,7649
101,3774,7801
102,3876,7955
103,3926,8110
104,4030,8267
105,4081,8425
106,4187,8585
107,4239,8746
108,4347,8909
109,4400,9073
110,4510,9239
111,4564,9406
112,4676,9575
113,4731,9745
114,4845,9917
115,4901,10090
116,5017,10265
117,5074,10441
118,5192,10619
119,5250,10798
120,5370,10979
121,5429,11161
122,5551,11345
123,5611,11530
124,5735,11717
125,5796,11905
126,5922,12095
127,5984,12286
128,6112,12479
129,6175,12673
130,6305,12869
131,6369,13066
132,6501,13265
133,6566,13465
134,6700,13667
135,6766,13870
136,6902,14075
137,6969,14281
138,7107,14489
139,7175,14698
140,7315,14909
141,7384,15121
142,7526,15335
143,7596,15550
144,7740,15767
145,7811,15985
146,7957,16205
147,8029,16426
148,8177,16649
149,8250,16873
150,8400,17099
151,8474,17326
152,8626,17555
153,8701,17785
154,8855,18017
155,8931,18250
156,9087,18485
157,9164,18721
158,9322,18959
159,9400,19198
160,9560,19439
161,9639,19681
162,9801,19925
163,9881,20170
164,10045,20417
165,10126,20665
166,10292,20915
167,10374,21166
168,10542,21419
169,10625,21673
170,10795,21929
171,10879,22186
172,11051,22445
173,11136,22705
174,11310,22967
175,11396,23230
176,11572,23495
177,11659,23761
178,11837,24029
179,11925,24298
180,12105,24569
181,12194,24841
182,12376,25115
183,12466,25390
184,12650,25667
185,12741,25945
186,12927,26225
187,13019,26506
188,13207,26789
189,13300,27073
190,13490,27359
191,13584,27646
192,13776,27935
193,13871,28225
194,14065,28517
195,14161,28810
196,14357,29105
197,14454,29401
198,14652,29699
199,14750,29998
200,14950,30299
201,15049,30601
